"year","site","transect","PANINT","STRPURAD","mpa_status","reserve","year_mpa"
2000,"BULL","1",0,32.8333333333333,"REFERENCE","OUT",0
2000,"BULL","3",0,0,"REFERENCE","OUT",0
2000,"BULL","6",0,0,"REFERENCE","OUT",0
2000,"CARP","1",0,8.83333333333333,"REFERENCE","OUT",0
2000,"CARP","2",0,28.5,"REFERENCE","OUT",0
2000,"CARP","3",0,32.5,"REFERENCE","OUT",0
2000,"CARP","4",0,164.833333333333,"REFERENCE","OUT",0
2000,"CARP","5",0,46.5,"REFERENCE","OUT",0
2000,"CARP","6",0,127.5,"REFERENCE","OUT",0
2000,"CARP","7",0,64.3333333333334,"REFERENCE","OUT",0
2000,"CARP","8",0,114,"REFERENCE","OUT",0
2000,"NAPL","1",0,61,"SMCA","IN",2012
2000,"NAPL","2",0,62,"SMCA","IN",2012
2000,"NAPL","3",0,48.5,"SMCA","IN",2012
2000,"NAPL","4",0,8.83333333333333,"SMCA","IN",2012
2000,"NAPL","5",0.0125,88.5,"SMCA","IN",2012
2000,"NAPL","6",0,28.6666666666667,"SMCA","IN",2012
2000,"NAPL","7",0,64.3333333333333,"SMCA","IN",2012
2000,"NAPL","8",0,27.8333333333333,"SMCA","IN",2012
2001,"ABUR","1",0,0,"REFERENCE","OUT",0
2001,"ABUR","2",0.0125,0,"REFERENCE","OUT",0
2001,"AHND","1",0,0,"REFERENCE","OUT",0
2001,"AHND","2",0,6.5,"REFERENCE","OUT",0
2001,"AQUE","1",0,0,"REFERENCE","OUT",0
2001,"AQUE","2",0,1.5,"REFERENCE","OUT",0
2001,"AQUE","3",0,3.83333333333333,"REFERENCE","OUT",0
2001,"AQUE","4",0,9.16666666666667,"REFERENCE","OUT",0
2001,"AQUE","5",0,25.1666666666667,"REFERENCE","OUT",0
2001,"BULL","1",0,22.3333333333333,"REFERENCE","OUT",0
2001,"BULL","3",0,1.5,"REFERENCE","OUT",0
2001,"BULL","6",0,5.83333333333333,"REFERENCE","OUT",0
2001,"CARP","1",0,10.6666666666667,"REFERENCE","OUT",0
2001,"CARP","2",0,34.1666666666666,"REFERENCE","OUT",0
2001,"CARP","3",0,31.8333333333333,"REFERENCE","OUT",0
2001,"CARP","4",0,98.3333333333333,"REFERENCE","OUT",0
2001,"CARP","5",0.0375,41.1666666666667,"REFERENCE","OUT",0
2001,"CARP","6",0.0125,58.5,"REFERENCE","OUT",0
2001,"CARP","7",0,10.8333333333333,"REFERENCE","OUT",0
2001,"CARP","8",0,63.8333333333333,"REFERENCE","OUT",0
2001,"GOLB","1",0,0.833333333333333,"REFERENCE","OUT",0
