a,h,T
0.207171285188879,0.84396589940839,2
0.158378261542892,0.543744517638741,2
0.289381200568057,0.734872948769243,2
0.232858509442375,0.608780761672856,2
0.163353939944934,0.527281263430777,2
0.240922462707567,0.787520124612558,2
0.184658292078421,0.731984040937541,2
0.150544027370011,0.60659880267075,2
0.121787178461757,0.351332955679267,2
0.124709583471118,0.513599966295241,2
0.145662582839934,0.631496765418573,2
0.239378609851934,0.990696320366155,2
0.229287380565612,0.912452073550009,2
0.202275327633533,0.864015492994884,2
0.192929509217099,1.05504810111933,2
0.18449784659474,0.44791144672826,2
0.187909960392471,0.870342564081314,2
0.182405352954466,0.512340257495932,2
0.20592099735434,0.725398254123819,2
0.255148509255408,1.08868800381415,2
0.129652396856499,0.325809894290254,2
0.120237865387579,0.659242940338306,2
0.181220553368378,0.883634960302766,2
0.202695057718511,0.894489004822652,2
0.231849042409949,0.625527567088629,2
0.194392851427697,0.52609308796665,2
0.316857721907059,0.90253389848146,2
0.159246213363289,0.673824302395089,2
0.138140501730525,0.642417703906225,2
0.135024037102346,0.613750115072643,2
0.193006763190612,0.759680988630831,2
0.131765471177821,0.539116657976456,2
0.15865039302604,0.570144853663385,2
0.132057394518617,0.346921485454042,2
0.162291546632992,0.804346502139101,2
0.195727709365546,0.59022604015866,2
0.183525761504184,0.794398735933043,2
0.106083160394338,0.402459887875195,2
0.171838078086177,0.699886567441276,2
0.232521185113981,0.80289923503912,2
0.233210733985778,0.890209816686739,2
0.193097688466574,0.775950508289206,2
0.265461366466866,1.18180033720789,2
0.229578234630497,1.21127686482126,2
0.162669165099359,0.558413014370506,2
0.175139221432364,0.698503947799226,2
0.299400676231494,1.27761518590361,2
0.187046314944232,0.835388001002232,2
0.226526226155451,1.02780598080655,2
0.13876178604909,0.843115627915546,2
0.330282651789232,1.04759902852774,2
0.162205323161906,0.513508005355666,2
0.251773005059157,0.84814817917356,2
0.156042954655619,0.70887028994951,2
0.170008806851166,0.429297801449,2
0.225286450441244,0.600462012392548,2
0.31927022156114,1.635801844708,2
0.239565700500698,0.931818688250319,2
0.269587526623825,0.688334431004447,2
0.12040990681026,0.305029966684078,2
0.22255471198967,0.91352361059351,2
0.315348461184567,0.972531932115306,2
0.15209898819661,0.739022012954787,2
0.182779525244802,0.660219421877656,2
0.150918302484212,0.585096378712945,2
0.180846453567765,0.635058982147027,2
0.154866508697556,0.645877731418824,2
0.243359809174069,0.945829635435858,2
0.317114390842107,0.902559669488013,2
0.138312555802632,0.817814997463167,2
0.199934781882466,0.671151871234718,2
0.240868280791182,0.749561939203299,2
0.165397205409571,0.53885980153309,2
0.337818054346194,0.857400068841841,2
0.206509325734045,0.622206950420716,2
0.137861670707743,0.478552221356593,2
0.164209129391738,0.805481774072471,2
0.343562046717552,1.26574644796297,2
0.306168981073907,1.14760183404843,2
0.175129413516681,0.665543327197087,2
0.239796969124772,0.738308443826621,2
0.160836993007089,0.43448252890193,2
0.183088823650366,0.642557427470535,2
0.182655622859739,1.02565007744902,2
0.234186000364597,0.773578412991944,2
0.180884348208352,0.463370396158635,2
0.204629568615063,0.724874586678798,2
0.282668664177062,0.742456220363881,2
0.187884595324117,0.803096149962997,2
0.227200005546337,0.870466416109617,2
0.239772043430242,0.716712547759572,2
0.225238807577586,0.72786064788173,2
0.157598213197843,0.546835167284064,2
0.175236251060737,0.620430321220486,2
0.12338828896997,0.766891262340781,2
0.162197281233816,0.42504413156782,2
0.200185391094619,0.84489126272981,2
0.132499581901278,0.5838510649369,2
0.296272728340331,0.988993027782606,2
0.267693167807962,0.692846963554035,2
0.276727522779187,0.915435581340803,2
0.191196309566782,0.974117267310905,2
0.117900753625323,0.924039437789197,2
0.23312436487938,0.965816588729128,2
0.227092787380351,0.728819406604754,2
0.176480754963746,0.879527886352376,2
0.222260036132138,0.731227711926666,2
0.170798269731005,0.680104799998072,2
0.170580781965526,0.627735653619727,2
0.166902572596897,0.619320624244291,2
0.190414363783182,0.893641484965051,2
0.164803494038418,0.717635304765311,2
0.206790775218826,0.655029540608297,2
0.258240576006344,0.984632142652667,2
0.138901323842731,0.581522142788367,2
0.203500686911881,0.758128297276008,2
0.195584559805875,1.04596327734585,2
0.302535181981206,0.914566593946723,2
0.126269478074058,0.550834240126747,2
0.222986989226123,0.877113160347028,2
0.170963823089097,0.634887345074317,2
0.235403809634909,0.875399664028614,2
