".chain",".iteration",".draw","treatment","t.a","t.h"
1,1,1,"urc_large",0.0249488624174451,831.211499341813
1,1,1,"urc_medium",0.0268753354213528,42.6382818978355
1,1,1,"urc_small",0.0195248862727438,3.02568823350006
1,2,2,"urc_large",0.0280073257437356,474.604461734063
1,2,2,"urc_medium",0.0395580909784793,14.7895312678909
1,2,2,"urc_small",0.0212480662346514,2.02396081332551
1,3,3,"urc_large",0.0189358239463484,213.941966988799
1,3,3,"urc_medium",0.025484432428726,20.7056926465165
1,3,3,"urc_small",0.0154220838556818,1.86783162278229
1,4,4,"urc_large",0.0134179469613792,388.526324638844
1,4,4,"urc_medium",0.0263068056014499,79.5562060473719
1,4,4,"urc_small",0.0208245017186768,1.65473488396513
1,5,5,"urc_large",0.0154968435615324,521.298873055368
1,5,5,"urc_medium",0.020938911059165,107.794351522248
1,5,5,"urc_small",0.0186706792410491,1.94613368921995
1,6,6,"urc_large",0.0172274312213748,310.268950810642
1,6,6,"urc_medium",0.0153080288214489,14.3132697722775
1,6,6,"urc_small",0.0150766531751728,2.67978335245063
1,7,7,"urc_large",0.0206080905374312,372.151557307701
1,7,7,"urc_medium",0.0143014426269083,70.1501951096093
1,7,7,"urc_small",0.0174440429755166,1.60968121527914
1,8,8,"urc_large",0.019702940416282,318.590409473454
1,8,8,"urc_medium",0.0126021190559166,62.3908644159095
1,8,8,"urc_small",0.0192869140084007,4.69581174214075
1,9,9,"urc_large",0.027521932423963,281.656672581891
1,9,9,"urc_medium",0.0117621493403268,24.4983748000079
1,9,9,"urc_small",0.0190013450965723,2.35821188703376
1,10,10,"urc_large",0.0159960575129891,329.330600100907
1,10,10,"urc_medium",0.014133891199075,21.9055461741251
1,10,10,"urc_small",0.0192608014616328,2.93267998265903
1,11,11,"urc_large",0.0205139375912708,342.617070214296
1,11,11,"urc_medium",0.0119301589078505,25.5608133872009
1,11,11,"urc_small",0.016964281274661,2.0526334356921
1,12,12,"urc_large",0.0214590529858245,287.814902278477
1,12,12,"urc_medium",0.0209106145389584,30.6343921703743
1,12,12,"urc_small",0.0144877536256978,1.41411797088541
1,13,13,"urc_large",0.0208592259007949,318.913854903988
1,13,13,"urc_medium",0.0165300017825228,50.4444086991609
1,13,13,"urc_small",0.0195819999692846,4.17854183497762
1,14,14,"urc_large",0.0236761135056184,390.172326029091
1,14,14,"urc_medium",0.0217996189339138,50.189814649285
1,14,14,"urc_small",0.0165264781189026,1.54174156952811
1,15,15,"urc_large",0.0160963750476839,259.901111271537
1,15,15,"urc_medium",0.0220982396942598,31.8787024298252
1,15,15,"urc_small",0.0135399311429023,1.77628758515846
1,16,16,"urc_large",0.0151347188061898,145.340578962702
1,16,16,"urc_medium",0.0215683176689935,83.1585088514327
1,16,16,"urc_small",0.0226130630589268,3.3779660231603
1,17,17,"urc_large",0.0136485464865733,210.521517368395
1,17,17,"urc_medium",0.0156176477961443,36.4232220554535
1,17,17,"urc_small",0.0236768962420431,4.52842861637882
1,18,18,"urc_large",0.017331450409198,241.590445941109
1,18,18,"urc_medium",0.0165029872820662,38.6681792278295
1,18,18,"urc_small",0.0191486882533024,2.61460642444213
1,19,19,"urc_large",0.0200202384239845,306.862205299411
1,19,19,"urc_medium",0.0148986230757677,22.3548585114349
1,19,19,"urc_small",0.0150057031223822,3.75314470608896
1,20,20,"urc_large",0.0187777558265278,186.683003176341
1,20,20,"urc_medium",0.0186842272643632,93.2718637630001
1,20,20,"urc_small",0.0191873862721982,4.08646013076629
1,21,21,"urc_large",0.0181761176968157,465.897301894512
1,21,21,"urc_medium",0.018949344226915,42.6385061655629
1,21,21,"urc_small",0.0214268659309072,5.54154357031847
1,22,22,"urc_large",0.0198724205552791,99.0674662438274
1,22,22,"urc_medium",0.0206771163011591,41.4626407704566
1,22,22,"urc_small",0.0188507370962623,3.39555752439032
1,23,23,"urc_large",0.0189079447691796,376.751243119502
1,23,23,"urc_medium",0.0200675622063289,48.7070811406071
1,23,23,"urc_small",0.0201206488039436,2.12819978079794
1,24,24,"urc_large",0.019440441920355,67.0475740924561
1,24,24,"urc_medium",0.0229130282496153,50.7928323851655
1,24,24,"urc_small",0.0182912463201649,2.30861104620162
1,25,25,"urc_large",0.0183588530468632,230.810453374571
1,25,25,"urc_medium",0.0180014519445686,36.8153826035347
1,25,25,"urc_small",0.0176961938455967,3.82812623927592
1,26,26,"urc_large",0.0193444391630675,197.817661874327
1,26,26,"urc_medium",0.0189773767758797,23.6270302246941
1,26,26,"urc_small",0.0225811819264229,7.02811607698938
1,27,27,"urc_large",0.0231456663827833,174.760649863629
1,27,27,"urc_medium",0.0249958652945971,52.3179253002036
1,27,27,"urc_small",0.0176139340945835,4.88789337500404
1,28,28,"urc_large",0.0284131777142178,278.071320678365
1,28,28,"urc_medium",0.0276679340120338,44.2816999098158
1,28,28,"urc_small",0.0208302010789589,3.37681212983579
1,29,29,"urc_large",0.0232909630559633,410.021408488514
1,29,29,"urc_medium",0.0233925643537671,66.4837141812479
1,29,29,"urc_small",0.0223078767401127,4.34837978243562
1,30,30,"urc_large",0.0249730111058397,522.168944296913
1,30,30,"urc_medium",0.0227133366499807,71.8604519863355
1,30,30,"urc_small",0.0229623200806752,4.77578588650304
1,31,31,"urc_large",0.0237558689698791,170.747757341208
1,31,31,"urc_medium",0.0240559386850814,6.6431529766105
1,31,31,"urc_small",0.0237360740502059,5.73702805397094
1,32,32,"urc_large",0.0247068901648108,229.252531197456
1,32,32,"urc_medium",0.0235667733479582,19.905416026051
1,32,32,"urc_small",0.0243026877787469,3.71787756550326
1,33,33,"urc_large",0.0283684965862234,187.06245520613
1,33,33,"urc_medium",0.0215469875214332,13.5545319962082
1,33,33,"urc_small",0.0248095927037072,4.92826885499269
1,34,34,"urc_large",0.0214343514188384,248.942902369152
1,34,34,"urc_medium",0.0332731854803562,115.101473913624
1,34,34,"urc_small",0.0259315805321161,4.01961536059743
1,35,35,"urc_large",0.023926475932055,140.197586934116
1,35,35,"urc_medium",0.0258448983463653,109.45610624809
1,35,35,"urc_small",0.0270079412371623,6.69165909102517
1,36,36,"urc_large",0.0226854893729108,412.128681790714
1,36,36,"urc_medium",0.0243783893694152,83.6891587026635
1,36,36,"urc_small",0.0210012688663699,5.42682532354123
1,37,37,"urc_large",0.0263257218455359,210.641562479888
1,37,37,"urc_medium",0.0319104704018515,180.89875655377
1,37,37,"urc_small",0.0184664377773323,7.01977545077277
1,38,38,"urc_large",0.0200327499876591,433.202578681154
1,38,38,"urc_medium",0.0218362754248871,43.1738891022847
1,38,38,"urc_small",0.022472109999139,1.72536624494568
1,39,39,"urc_large",0.015580013429095,131.078956750489
1,39,39,"urc_medium",0.021063369499508,32.1174335162329
1,39,39,"urc_small",0.0232004430985085,3.43998902089384
1,40,40,"urc_large",0.0219096232863936,399.355614101172
1,40,40,"urc_medium",0.0159027956148271,47.9783683385896
1,40,40,"urc_small",0.0259469968721903,2.88823157303386
1,41,41,"urc_large",0.0193928336857025,247.207051892491
1,41,41,"urc_medium",0.01680390313686,47.5192794847606
1,41,41,"urc_small",0.0243507821519204,2.48948443007207
1,42,42,"urc_large",0.0176233156551741,285.516999413332
1,42,42,"urc_medium",0.0173908022508902,44.7222075677893
1,42,42,"urc_small",0.0338010960463448,2.83723639621135
1,43,43,"urc_large",0.0231152150920139,387.478237404694
1,43,43,"urc_medium",0.0187641234555604,31.857420565052
1,43,43,"urc_small",0.0259268139823971,2.69582791173315
1,44,44,"urc_large",0.0228697364723003,163.573043829043
1,44,44,"urc_medium",0.0168567794577872,55.4862016699008
1,44,44,"urc_small",0.0204287446832155,3.94280419597811
1,45,45,"urc_large",0.0261446739154747,493.603264011519
1,45,45,"urc_medium",0.0223069678649331,38.8527325599343
1,45,45,"urc_small",0.023612196046398,4.14117749245177
1,46,46,"urc_large",0.0247868693891645,162.645489135848
1,46,46,"urc_medium",0.0191938829629513,53.0754524243192
1,46,46,"urc_small",0.0244642702307899,4.93704686577379
1,47,47,"urc_large",0.0256307126081638,288.573365126003
1,47,47,"urc_medium",0.0219295698499302,69.5474025960204
1,47,47,"urc_small",0.0216636041720739,2.1208529700571
1,48,48,"urc_large",0.0215323983594141,137.610826302058
1,48,48,"urc_medium",0.0253786942525525,26.1879179919328
1,48,48,"urc_small",0.0225852727239671,2.44964944902167
1,49,49,"urc_large",0.0224851367001946,467.776245326745
1,49,49,"urc_medium",0.0208707080156069,52.3481229686201
1,49,49,"urc_small",0.029421089553589,5.13325624122816
1,50,50,"urc_large",0.0221133172203503,237.684336984631
1,50,50,"urc_medium",0.0228747163603113,30.3901446733507
1,50,50,"urc_small",0.0291619084024824,4.78587717685605
1,51,51,"urc_large",0.0180954851709204,78.1927869392885
1,51,51,"urc_medium",0.0191662616941592,23.2747616203501
1,51,51,"urc_small",0.0263500969525517,1.14585448605217
1,52,52,"urc_large",0.0198296700162214,445.124900334657
1,52,52,"urc_medium",0.0136784748967706,20.0917024664935
1,52,52,"urc_small",0.0187980785843574,3.19046441008172
1,53,53,"urc_large",0.0212178641985937,288.226937830734
1,53,53,"urc_medium",0.0222622311613796,50.941775525889
1,53,53,"urc_small",0.0241584643421662,3.7966916272605
1,54,54,"urc_large",0.0255738790952758,451.685847124451
1,54,54,"urc_medium",0.0188273834945225,32.2375732871609
1,54,54,"urc_small",0.0237337239332557,6.11760500742356
1,55,55,"urc_large",0.0159801612818989,143.906427723139
1,55,55,"urc_medium",0.0189670064531615,30.9460566290392
1,55,55,"urc_small",0.0207774728743837,1.57689883741413
1,56,56,"urc_large",0.0163891167857307,133.945320896089
1,56,56,"urc_medium",0.0244269192766908,37.9142485965629
1,56,56,"urc_small",0.0215139819316463,4.7233165750137
1,57,57,"urc_large",0.0168793280273572,60.3852230214218
1,57,57,"urc_medium",0.0152969974600601,38.2030739368726
1,57,57,"urc_small",0.0171150664616743,1.1346646681397
1,58,58,"urc_large",0.0126673822938247,194.673101591681
1,58,58,"urc_medium",0.00959696612029536,30.6858826444329
1,58,58,"urc_small",0.0155297881817019,2.87308381279607
1,59,59,"urc_large",0.01367889784455,230.767896153711
1,59,59,"urc_medium",0.0154842620201643,41.0514903029211
1,59,59,"urc_small",0.0200434332682384,8.01834939684176
1,60,60,"urc_large",0.0158238897138225,282.041360830285
1,60,60,"urc_medium",0.0178943520686181,26.7206198871722
1,60,60,"urc_small",0.0193275869818884,4.37847512455681
1,61,61,"urc_large",0.0181857760659611,619.357950424486
1,61,61,"urc_medium",0.0111207841725557,18.6022160991217
1,61,61,"urc_small",0.0205706542616112,2.13718974395444
1,62,62,"urc_large",0.0161077729177299,337.228666483702
1,62,62,"urc_medium",0.0151351402511287,43.808705162653
1,62,62,"urc_small",0.0183884416699936,4.67819728529223
1,63,63,"urc_large",0.0188536476296294,251.548851688845
1,63,63,"urc_medium",0.0145257270357882,24.917444285635
1,63,63,"urc_small",0.0192116593583152,2.29729096913645
1,64,64,"urc_large",0.0152105001623581,221.218567104938
1,64,64,"urc_medium",0.00986926562167701,31.1050798832361
1,64,64,"urc_small",0.0199786293906524,1.87833897385692
1,65,65,"urc_large",0.0152276823804614,184.464866809707
1,65,65,"urc_medium",0.0152362637375689,19.1039730987396
1,65,65,"urc_small",0.0190333643045509,1.78665307069744
1,66,66,"urc_large",0.0119715374545511,502.50698227094
1,66,66,"urc_medium",0.0107870753163998,14.0887416492742
1,66,66,"urc_small",0.0143068115344137,3.11844459237441
1,67,67,"urc_large",0.0220693014948223,171.975114121766
1,67,67,"urc_medium",0.0162848723712564,16.9603073176974
1,67,67,"urc_small",0.0158411725374577,1.3306427412414
1,68,68,"urc_large",0.0357987954666352,1075.81653200244
1,68,68,"urc_medium",0.0172236415809459,17.5464589426058
