campus,method,year,month,day,site,side,zone,transect,depth,MPAGroup,MPA_STATUS,RESERVE,MLPA_REGN,REGION,SUBREGION,LAT_WGS84,LON_WGS84,YEAR_MPA
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017667,-119.363683,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017667,-119.363683,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017667,-119.363683,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017667,-119.363683,1978
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017033,-119.361133,1978
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017033,-119.361133,1978
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017033,-119.361133,1978
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.017033,-119.361133,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.015867,-119.371733,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.015867,-119.371733,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.015867,-119.371733,1978
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.015867,-119.371733,1978
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.009883,-119.388333,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.009883,-119.388333,2003
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,3,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.009883,-119.388333,2003
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,4,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.009883,-119.388333,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.0085,-119.388167,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.0085,-119.388167,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.0085,-119.388167,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.0085,-119.388167,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.007833,-119.394467,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.007833,-119.394467,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,1,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.007833,-119.394467,2003
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,2,,Anacapa Island SMR,SMR,IN,SCSR,NCI East,ANA,34.007833,-119.394467,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016983,-119.432917,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016983,-119.432917,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016983,-119.432917,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016983,-119.432917,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016083,-119.421833,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016083,-119.421833,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016083,-119.421833,2003
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.016083,-119.421833,2003
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.017417,-119.438067,2003
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.017417,-119.438067,2003
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,1,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.017417,-119.438067,2003
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,2,,Anacapa Island SMCA,SMCA,IN,SCSR,NCI East,ANA,34.017417,-119.438067,2003
UCSB,SBTL_SWATH,2003,7,29,COJO,E,INNER,1,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,29,COJO,E,INNER,2,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,29,COJO,E,MID,1,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,29,COJO,E,MID,2,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,29,COJO,E,OUTER,1,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,29,COJO,E,OUTER,2,,Point Conception SMR,reference,OUT,SCSR,Mainland - SB,Pt Conception,34.441287,-120.416793,0
UCSB,SBTL_SWATH,2003,7,30,COJO,W,INNER,1,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,30,COJO,W,INNER,2,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,30,COJO,W,MID,1,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,30,COJO,W,MID,2,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,30,COJO,W,OUTER,1,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,30,COJO,W,OUTER,2,,Point Conception SMR,SMR,IN,SCSR,Mainland - SB,Pt Conception,34.443204,-120.423326,2012
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,INNER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,INNER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,MID,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,MID,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,OUTER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,OUTER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.48696,-120.500523,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,S,INNER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,S,INNER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,S,MID,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
UCSB,SBTL_SWATH,2003,7,31,JALAMA,S,MID,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
