campus,method,year,month,day,site,side,zone,transect,depth,MPAGroup,MPA_STATUS,RESERVE,MLPA_REGN,REGION,SUBREGION,LAT_WGS84,LON_WGS84,YEAR_MPA
UCSB,SBTL_SWATH,2003,8,1,JALAMA,S,OUTER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
UCSB,SBTL_SWATH,2003,8,1,JALAMA,S,OUTER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.480842,-120.494458,0
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,INNER,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,INNER,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,MID,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,MID,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,OUTER,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,OUTER,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.729501,-120.631705,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,INNER,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,INNER,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,MID,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,MID,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,OUTER,1,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,OUTER,2,,Vandenberg SMR,SMR,IN,CCSR,Morro South,Vandenberg,34.726948,-120.627138,2007
UCSB,SBTL_SWATH,2003,8,5,SAL,N,INNER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,5,SAL,N,INNER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,5,SAL,N,MID,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,5,SAL,N,MID,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,5,SAL,N,OUTER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,5,SAL,N,OUTER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.87315,-120.634483,0
UCSB,SBTL_SWATH,2003,8,6,SAL,S,INNER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,6,SAL,S,INNER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,5,SAL,S,MID,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,5,SAL,S,MID,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,5,SAL,S,OUTER,1,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,5,SAL,S,OUTER,2,,Vandenberg SMR,reference,OUT,CCSR,Morro South,Vandenberg,34.871733,-120.630083,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,INNER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,INNER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,MID,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,MID,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,OUTER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,OUTER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.051483,-119.909667,0
UCSB,SBTL_SWATH,2003,8,21,SCI_FORNEY,W,INNER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,8,21,SCI_FORNEY,W,INNER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,MID,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,MID,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,OUTER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,OUTER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.053883,-119.9182,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.056583,-119.821167,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.056583,-119.821167,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,OUTER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.056583,-119.821167,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,OUTER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.056583,-119.821167,0
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,E,INNER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.054383,-119.81935,0
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,E,INNER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.054383,-119.81935,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,E,OUTER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.054383,-119.81935,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,E,OUTER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.054383,-119.81935,0
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,W,INNER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.0581,-119.824833,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,INNER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.0581,-119.824833,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,OUTER,1,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.0581,-119.824833,0
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,OUTER,2,,Painted Cave SMCA,reference,OUT,SCSR,NCI East,SCI,34.0581,-119.824833,0
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,CEN,INNER,1,7.6,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.072867,-119.870983,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,CEN,INNER,2,7.9,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.072867,-119.870983,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,CEN,INNER,4,7,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.072867,-119.870983,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,CEN,OUTER,1,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.072867,-119.870983,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,CEN,OUTER,2,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.072867,-119.870983,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,E,INNER,1,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.0719,-119.85755,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,E,INNER,2,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.0719,-119.85755,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,E,OUTER,1,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.0719,-119.85755,2003
UCSB,SBTL_SWATH,2003,10,29,SCI_PAINTED_CAVE,E,OUTER,2,,Painted Cave SMCA,SMCA,IN,SCSR,NCI East,SCI,34.0719,-119.85755,2003
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,INNER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.03065,-119.69665,0
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,INNER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.03065,-119.69665,0
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,OUTER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.03065,-119.69665,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,OUTER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.03065,-119.69665,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.02805,-119.690917,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.02805,-119.690917,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.02805,-119.690917,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.02805,-119.690917,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.035867,-119.7023,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.035867,-119.7023,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,1,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.035867,-119.7023,0
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,2,,Scorpion SMR,reference,OUT,SCSR,NCI East,SCI,34.035867,-119.7023,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,OUTER,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,OUTER,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.988533,-119.546983,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,INNER,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,INNER,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,1,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,2,,Gull Island SMR,reference,OUT,SCSR,NCI East,SCI,33.9893,-119.564933,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,INNER,1,10.4,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,INNER,2,10.1,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,INNER,3,8.5,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,OUTER,1,10.7,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,OUTER,2,6.7,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,5,SMI_CROOK_POINT,W,OUTER,3,7.6,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.01385,-120.337333,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,INNER,1,8.2,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,INNER,2,8.8,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,INNER,3,9.8,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,OUTER,1,,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,OUTER,2,,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,E,OUTER,3,10.4,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.051717,-120.346183,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,W,INNER,1,,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.05705,-120.3526,0
UCSB,SBTL_SWATH,2003,11,4,SMI_CUYLER,W,INNER,2,,Harris Point SMR,reference,OUT,SCSR,NCI West,SMI,34.05705,-120.3526,0
