campus,method,year,month,day,site,side,zone,transect,classcode,count,size,depth,observer,heading
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,INNER,2,MESFRAAD,150,,,SEAN HOOBLER,270
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,INNER,2,STRPURAD,29,,,SEAN HOOBLER,270
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,OUTER,1,MESFRAAD,55,,,SEAN HOOBLER,270
UCSB,SBTL_SWATH,2003,6,27,SCI_PELICAN,CEN,OUTER,1,STRPURAD,24,,,SEAN HOOBLER,270
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,1,MESFRAAD,224,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,1,STRPURAD,736,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,2,MESFRAAD,196,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,MID,2,STRPURAD,306,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,1,MESFRAAD,31,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,1,STRPURAD,157,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,2,MESFRAAD,193,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,9,SCI_YELLOWBANKS,W,OUTER,2,STRPURAD,325,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,1,MESFRAAD,3,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,1,STRPURAD,6,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,2,MESFRAAD,31,,,SEAN HOOBLER,90
