campus,method,year,month,day,site,side,zone,transect,classcode,count,size,depth,observer,heading
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,INNER,2,STRPURAD,66,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,1,MESFRAAD,112,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,1,STRPURAD,26,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,2,MESFRAAD,344,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,MID,2,STRPURAD,156,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,OUTER,1,MESFRAAD,21,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,OUTER,1,STRPURAD,5,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,10,SCI_YELLOWBANKS,CEN,OUTER,2,MESFRAAD,25,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,INNER,1,MESFRAAD,21,,,JENN CASELLE,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,INNER,1,STRPURAD,149,,,JENN CASELLE,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,OUTER,2,MESFRAAD,65,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,CEN,OUTER,2,STRPURAD,49,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,1,MESFRAAD,86,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,1,STRPURAD,216,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,2,MESFRAAD,84,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,INNER,2,STRPURAD,624,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,1,MESFRAAD,19,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,1,STRPURAD,50,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,2,MESFRAAD,109,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,E,OUTER,2,STRPURAD,209,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,1,MESFRAAD,78,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,1,STRPURAD,2400,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,2,MESFRAAD,175,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,INNER,2,STRPURAD,1137,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,1,MESFRAAD,131,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,1,STRPURAD,482,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,2,MESFRAAD,188,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,11,SCI_PELICAN,W,OUTER,2,STRPURAD,494,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,1,MESFRAAD,54,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,1,STRPURAD,50,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,2,MESFRAAD,17,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,CEN,OUTER,2,STRPURAD,99,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,1,MESFRAAD,286,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,1,STRPURAD,3600,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,2,MESFRAAD,30,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,INNER,2,STRPURAD,516,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,1,MESFRAAD,153,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,1,STRPURAD,2250,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,2,MESFRAAD,59,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,E,OUTER,2,STRPURAD,366,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,1,MESFRAAD,197,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,1,STRPURAD,4000,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,2,MESFRAAD,304,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,INNER,2,STRPURAD,1350,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,1,MESFRAAD,263,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,1,STRPURAD,2600,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,2,MESFRAAD,113,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,2,PANINT,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,15,ANACAPA_MIDDLE_ISLE,W,OUTER,2,STRPURAD,617,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,1,MESFRAAD,63,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,1,STRPURAD,77,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,2,MESFRAAD,82,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,INNER,2,STRPURAD,49,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,1,MESFRAAD,206,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,1,PANINT,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,1,STRPURAD,22,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,2,MESFRAAD,95,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_EAST_ISLE,E,OUTER,2,STRPURAD,28,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,3,MESFRAAD,370,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,3,STRPURAD,545,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,4,MESFRAAD,97,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,16,ANACAPA_MIDDLE_ISLE,CEN,OUTER,4,STRPURAD,300,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,1,MESFRAAD,280,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,1,PANINT,4,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,1,STRPURAD,157,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,2,MESFRAAD,121,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,INNER,2,STRPURAD,42,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,1,MESFRAAD,207,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,1,STRPURAD,50,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,2,MESFRAAD,224,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,CEN,OUTER,2,STRPURAD,72,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,1,MESFRAAD,277,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,1,STRPURAD,166,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,2,MESFRAAD,109,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,INNER,2,STRPURAD,198,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,1,MESFRAAD,133,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,1,STRPURAD,29,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,2,MESFRAAD,115,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,2,PANINT,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,17,ANACAPA_EAST_ISLE,W,OUTER,2,STRPURAD,23,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,1,MESFRAAD,317,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,1,STRPURAD,740,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,2,MESFRAAD,165,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,INNER,2,STRPURAD,751,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,1,MESFRAAD,140,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,1,STRPURAD,99,,,JENN CASELLE,270
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,2,MESFRAAD,73,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,18,ANACAPA_WEST_ISLE,W,OUTER,2,STRPURAD,11,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,1,MESFRAAD,74,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,1,STRPURAD,204,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,2,MESFRAAD,19,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,INNER,2,STRPURAD,37,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,CEN,OUTER,2,MESFRAAD,2,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,INNER,2,MESFRAAD,121,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,INNER,2,STRPURAD,427,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,OUTER,1,MESFRAAD,19,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,24,SCI_HAZARDS,W,OUTER,1,STRPURAD,1,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,7,31,JALAMA,N,INNER,2,STRPURAD,49,,,JESSE PATTERSON,180
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,INNER,1,MESFRAAD,1,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,INNER,1,STRPURAD,1,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,MID,1,MESFRAAD,1,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,MID,2,MESFRAAD,3,,,LYALL BELLQUIST,90
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,OUTER,1,MESFRAAD,1,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,N,OUTER,2,MESFRAAD,18,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,OUTER,1,MESFRAAD,16,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,6,PURISIMA,S,OUTER,2,MESFRAAD,11,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,MID,1,MESFRAAD,4,,,LYALL BELLQUIST,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,MID,2,MESFRAAD,7,,,SEAN HOOBLER,180
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,MID,2,STRPURAD,11,,,SEAN HOOBLER,180
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,OUTER,1,MESFRAAD,99,,,LYALL BELLQUIST,0
UCSB,SBTL_SWATH,2003,8,13,SCI_FORNEY,W,OUTER,1,STRPURAD,10,,,LYALL BELLQUIST,0
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,1,MESFRAAD,363,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,1,PANINT,2,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,1,STRPURAD,657,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,2,MESFRAAD,200,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,2,PANINT,5,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,INNER,2,STRPURAD,630,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,1,MESFRAAD,181,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,1,PANINT,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,1,STRPURAD,234,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,2,MESFRAAD,118,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,CEN,OUTER,2,STRPURAD,204,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,1,MESFRAAD,173,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,1,STRPURAD,745,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,2,MESFRAAD,250,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,2,PANINT,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,INNER,2,STRPURAD,671,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,1,MESFRAAD,239,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,1,STRPURAD,719,,,LYALL BELLQUIST,270
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,2,MESFRAAD,69,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,14,ANACAPA_WEST_ISLE,E,OUTER,2,STRPURAD,301,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,21,SCI_FORNEY,W,INNER,1,MESFRAAD,20,,,CHAD BURT,90
UCSB,SBTL_SWATH,2003,8,21,SCI_FORNEY,W,INNER,2,MESFRAAD,54,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,21,SCI_FORNEY,W,INNER,2,STRPURAD,2,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,INNER,1,MESFRAAD,554,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,INNER,1,STRPURAD,340,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,INNER,2,MESFRAAD,41,,,JESSE PATTERSON,90
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,MID,1,MESFRAAD,98,,,CHAD BURT,270
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,MID,1,STRPURAD,40,,,CHAD BURT,270
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,MID,2,MESFRAAD,5,,,CHAD BURT,90
UCSB,SBTL_SWATH,2003,8,22,SCI_FORNEY,E,OUTER,2,MESFRAAD,60,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,E,INNER,1,MESFRAAD,11,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,E,INNER,1,STRPURAD,17,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,E,INNER,2,MESFRAAD,5,,,JESSE PATTERSON,270
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,W,INNER,1,MESFRAAD,47,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,8,27,SCI_HAZARDS,W,INNER,1,STRPURAD,200,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,MID,4,MESFRAAD,186,,,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,MID,4,STRPURAD,733,,,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,1,MESFRAAD,67,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,1,STRPURAD,25,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,2,MESFRAAD,19,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,2,STRPURAD,8,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,3,MESFRAAD,1,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,14,SRI_SOUTH_POINT,E,OUTER,3,STRPURAD,16,,,SEAN HOOBLER,90
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,E,MID,1,MESFRAAD,21,,,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,E,MID,2,MESFRAAD,28,,,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,E,MID,2,STRPURAD,2,,,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,MID,2,MESFRAAD,9,,13.4,KARAH COX,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,MID,3,MESFRAAD,156,,13.4,KARAH COX,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,MID,3,STRPURAD,4,,13.4,KARAH COX,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,1,MESFRAAD,36,,15.2,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,1,STRPURAD,7,,15.2,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,2,MESFRAAD,30,,15.5,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,2,STRPURAD,13,,15.5,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,3,MESFRAAD,33,,15.2,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,15,SRI_SOUTH_POINT,W,OUTER,3,STRPURAD,2,,15.2,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,CEN,MID,1,MESFRAAD,134,,10.7,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,CEN,MID,2,MESFRAAD,186,,11.3,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,CEN,MID,2,STRPURAD,1,,11.3,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,CEN,MID,3,MESFRAAD,326,,12.5,IAN TANIGUCHI,270
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,INNER,2,MESFRAAD,2,,10.7,IAN TANIGUCHI,315
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,INNER,3,MESFRAAD,150,,9.1,IAN TANIGUCHI,315
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,INNER,3,STRPURAD,8,,9.1,IAN TANIGUCHI,315
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,OUTER,1,MESFRAAD,520,,11.3,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,OUTER,2,MESFRAAD,788,,9.8,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,16,SMI_PRINCE_ISLAND,N,OUTER,3,MESFRAAD,408,,9.8,IAN TANIGUCHI,90
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,1,MESFRAAD,126,,11.9,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,1,STRPURAD,889,,11.9,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,2,MESFRAAD,155,,9.1,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,2,STRPURAD,344,,9.1,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,3,MESFRAAD,289,,10.7,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,MID,3,STRPURAD,950,,10.7,IAN TANIGUCHI,305
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,OUTER,1,MESFRAAD,490,,13.1,IAN TANIGUCHI,315
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,OUTER,1,STRPURAD,13,,13.1,IAN TANIGUCHI,315
UCSB,SBTL_SWATH,2003,10,17,SRI_CARRINGTON,E,OUTER,2,MESFRAAD,120,,13.4,IAN TANIGUCHI,315
